dataset,threads,median_ms,comm_ms,comp_ms,throughput_pts_s,speedup_seq
g,1.0,38.166,0.002,38.164,26201331.027616207,0.8620237908085732
g,2.0,24.596,0.037,24.559,40657017.401203446,1.3376158724995935
g,4.0,20.632,0.051,20.581,48468398.604110114,1.5946103140752228
g,8.0,20.018,0.058,19.96,49955040.46358278,1.6435208312518732
m,1.0,2.235,0.001,2.234,44742729.3064877,0.7606263982102909
m,2.0,1.556,0.019,1.537,64267352.185089976,1.0925449871465296
m,4.0,1.821,0.033,1.788,54914881.93300384,0.9335529928610653
m,8.0,1.96,0.038,1.922,51020408.16326531,0.8673469387755102
p,1.0,0.168,0.001,0.167,59523809.52380952,0.5952380952380952
p,2.0,0.23,0.019,0.211,43478260.86956522,0.43478260869565216
p,4.0,0.231,0.022,0.209,43290043.29004329,0.4329004329004329
p,8.0,0.436,0.032,0.404,22935779.816513762,0.22935779816513763
