dataset,threads,schedule,chunk,median_ms,speedup
g,1.0,dynamic,1.0,101.578,0.3238890310894091
g,2.0,dynamic,1.0,156.429,0.21031905848659774
g,4.0,dynamic,1.0,140.003,0.23499496439362014
g,8.0,dynamic,1.0,142.974,0.23011176857330704
g,16.0,dynamic,1.0,129.442,0.25416788986573136
g,1.0,dynamic,1024.0,35.83,0.9182249511582473
g,2.0,dynamic,1024.0,21.295,1.5449636064803942
g,4.0,dynamic,1024.0,16.637,1.9775199855743222
g,8.0,dynamic,1024.0,9.659,3.406149704938399
g,16.0,dynamic,1024.0,39.833,0.8259483342956845
g,1.0,dynamic,256.0,38.813,0.8476541365006569
g,2.0,dynamic,256.0,23.256,1.41468868249054
g,4.0,dynamic,256.0,17.881,1.8399418377048262
g,8.0,dynamic,256.0,10.328,3.1855151045701007
g,16.0,dynamic,256.0,40.705,0.8082545141874462
g,1.0,dynamic,64.0,37.399,0.8797026658466803
g,2.0,dynamic,64.0,24.659,1.3341984670911229
g,4.0,dynamic,64.0,19.088,1.7235959765297568
g,8.0,dynamic,64.0,12.345,2.6650465775617658
g,16.0,dynamic,64.0,45.394,0.7247653874961448
g,1.0,dynamic,NA,100.619,0.32697601844582036
g,2.0,dynamic,NA,167.007,0.19699773063404527
g,4.0,dynamic,NA,141.462,0.2325712912301537
g,8.0,dynamic,NA,133.757,0.24596843529684426
g,16.0,dynamic,NA,140.396,0.2343371606028662
g,1.0,static,1.0,35.546,0.9255612445844821
g,2.0,static,1.0,42.911,0.7667031763417305
g,4.0,static,1.0,37.56,0.8759318423855165
g,8.0,static,1.0,23.638,1.3918267196886367
g,16.0,static,1.0,47.371,0.6945177429228853
g,1.0,static,1024.0,34.778,0.9460003450457185
g,2.0,static,1024.0,20.973,1.568683545510895
g,4.0,static,1024.0,15.648,2.1025051124744376
g,8.0,static,1024.0,12.816,2.567103620474407
g,16.0,static,1024.0,41.739,0.7882316298905101
g,1.0,static,256.0,34.621,0.9502902862424539
g,2.0,static,256.0,23.968,1.372663551401869
g,4.0,static,256.0,16.789,1.9596164155101552
g,8.0,static,256.0,13.997,2.350503679359863
g,16.0,static,256.0,41.881,0.785559084071536
g,1.0,static,64.0,38.236,0.8604456533110159
g,2.0,static,64.0,22.987,1.4312437464653935
g,4.0,static,64.0,18.493,1.7790515330124912
g,8.0,static,64.0,13.841,2.3769958818004477
g,16.0,static,64.0,20.919,1.5727329222238156
g,1.0,static,NA,38.052,0.8646063281824871
g,2.0,static,NA,20.877,1.5758969200555635
g,4.0,static,NA,15.791,2.083465265024381
g,8.0,static,NA,12.839,2.562504867980372
g,16.0,static,NA,41.398,0.794724382820426
m,1.0,dynamic,1.0,7.813,0.21758607449123257
m,2.0,dynamic,1.0,18.576,0.09151593453919035
m,4.0,dynamic,1.0,17.186,0.09891772372861632
m,8.0,dynamic,1.0,16.921,0.10046687548017257
m,16.0,dynamic,1.0,45.89,0.03704510786663761
