dataset,threads,schedule,chunk,median_ms,speedup
g,1.0,static,256.0,34.621,0.9502902862424539
g,2.0,static,NA,20.877,1.5758969200555635
g,4.0,static,1024.0,15.648,2.1025051124744376
g,8.0,dynamic,1024.0,9.659,3.406149704938399
g,16.0,static,64.0,20.919,1.5727329222238156
m,1.0,static,NA,1.781,0.9545199326221224
m,2.0,static,64.0,2.282,0.7449605609114811
m,4.0,static,256.0,2.45,0.693877551020408
m,8.0,dynamic,1024.0,1.812,0.9381898454746136
m,16.0,dynamic,256.0,39.54,0.042994436014162876
p,1.0,static,256.0,0.126,0.7936507936507937
p,2.0,static,1024.0,0.751,0.13315579227696406
p,4.0,dynamic,1024.0,0.539,0.18552875695732837
p,8.0,dynamic,64.0,0.695,0.14388489208633096
p,16.0,static,1024.0,40.709,0.002456459259623179
