dataset,threads,schedule,chunk,median_ms,speedup
g,1,dynamic,1.0,104.735,0.3274931971165322
g,2,dynamic,1.0,152.361,0.2251232270725448
g,4,dynamic,1.0,157.513,0.2177598039526896
g,8,dynamic,1.0,135.164,0.2537657956260543
g,16,dynamic,1.0,127.06,0.26995120415551704
g,1,dynamic,1024.0,37.448,0.9159367656483657
g,2,dynamic,1024.0,22.234,1.5426823783394799
g,4,dynamic,1024.0,16.092,2.1314939100174
g,8,dynamic,1024.0,8.347,4.10926081226788
g,16,dynamic,1024.0,43.446,0.7894857984624591
g,1,dynamic,256.0,37.462,0.9155944690619826
g,2,dynamic,256.0,23.217,1.4773657233923418
g,4,dynamic,256.0,17.185,1.9959266802443991
g,8,dynamic,256.0,9.377,3.6578863175855814
g,16,dynamic,256.0,45.751,0.7497103888439597
g,1,dynamic,64.0,38.158,0.898894072016353
g,2,dynamic,64.0,24.042,1.426669994176857
g,4,dynamic,64.0,18.585,1.845574387947269
g,8,dynamic,64.0,10.98,3.123861566484517
g,16,dynamic,64.0,40.331,0.8504624234459843
g,1,dynamic,NA,106.005,0.3235696429413707
g,2,dynamic,NA,163.611,0.20964360587002095
g,4,dynamic,NA,143.504,0.2390177277288438
g,8,dynamic,NA,129.402,0.2650654549388727
g,16,dynamic,NA,123.561,0.27759568148525826
g,1,static,1.0,34.847,0.9843028094240536
g,2,static,1.0,42.789,0.8016078898782396
g,4,static,1.0,33.601,1.0208029522930864
g,8,static,1.0,21.51,1.5946071594607156
g,16,static,1.0,46.499,0.7376502720488611
g,1,static,1024.0,34.797,0.9857171595252464
g,2,static,1024.0,21.424,1.6010082150858849
g,4,static,1024.0,15.074,2.275441156959002
g,8,static,1024.0,11.754,2.918155521524587
g,16,static,1024.0,46.656,0.7351680384087791
g,1,static,256.0,35.048,0.9786578406756447
g,2,static,256.0,22.809,1.5037923626638605
g,4,static,256.0,16.319,2.1018444757644463
g,8,static,256.0,12.683,2.7044074745722617
g,16,static,256.0,41.159,0.8333535800189509
g,1,static,64.0,35.881,0.9559376828962403
g,2,static,64.0,22.738,1.508487993666989
g,4,static,64.0,17.25,1.988405797101449
g,8,static,64.0,12.788,2.682202064435408
g,16,static,64.0,41.578,0.8249555053153108
g,1,static,NA,35.89,0.9556979660072442
g,2,static,NA,20.667,1.6596506507959545
g,4,static,NA,14.253,2.406510909983863
g,8,static,NA,11.421,3.003239646265651
g,16,static,NA,47.242,0.7260488548325642
m,1,dynamic,1.0,8.377,0.2029366121523218
m,2,dynamic,1.0,18.513,0.09182736455463728
m,4,dynamic,1.0,18.866,0.09010919113749602
m,8,dynamic,1.0,14.519,0.11708795371582065
m,16,dynamic,1.0,44.912,0.03785179907374421
