dataset,modo,config,threads,block,schedule,chunk,tempo_ms,throughput_pts_s,speedup_seq,speedup_omp
g,seq,seq,,,NA,NA,33.5,29850746.268656716,1.0,
g,omp,"omp_T8_dynamic,chunk=1024.0",8.0,,dynamic,1024.0,9.275,107816711.59029649,3.6118598382749325,
g,cuda,cuda_block128,,128.0,NA,NA,162.9,6138735.420503376,0.2056476365868631,0.056936771025168816
g,cuda,cuda_block256,,256.0,NA,NA,158.2,6321112.515802782,0.2117572692793932,0.058628318584070804
g,cuda,cuda_block512,,512.0,NA,NA,161.9,6176652.254478073,0.20691785052501543,0.057288449660284124
m,seq,seq,,,NA,NA,1.8,55555555.55555555,1.0,
m,omp,"omp_T8_static,chunk=1024.0",8.0,,static,1024.0,1.784,56053811.65919282,1.0089686098654709,
m,cuda,cuda_block128,,128.0,NA,NA,150.5,664451.827242525,0.011960132890365448,0.011853820598006645
m,cuda,cuda_block256,,256.0,NA,NA,146.7,681663.258350375,0.01226993865030675,0.01216087252897069
m,cuda,cuda_block512,,512.0,NA,NA,154.6,646830.530401035,0.01164294954721863,0.011539456662354463
p,seq,seq,,,NA,NA,0.1,100000000.0,1.0,
p,omp,"omp_T1_static,chunk=1024.0",1.0,,static,1024.0,0.123,81300813.00813009,0.8130081300813009,
p,cuda,cuda_block128,,128.0,NA,NA,145.2,68870.52341597796,0.0006887052341597797,0.000847107438016529
p,cuda,cuda_block256,,256.0,NA,NA,140.3,71275.83749109051,0.0007127583749109051,0.0008766928011404133
p,cuda,cuda_block512,,512.0,NA,NA,160.0,62500.0,0.000625,0.00076875
