dataset,modo,config,threads,block,schedule,chunk,tempo_ms,throughput_pts_s,speedup_seq,speedup_omp
g,seq,seq,,,NA,NA,34.1,29325513.196480937,1.0,
g,omp,"omp_T8_dynamic,chunk=1024.0",8.0,,dynamic,1024.0,9.509,105163529.2880429,3.5860763487222633,
g,cuda,cuda_block128,,128.0,NA,NA,169.1,5913660.555884092,0.20165582495564757,0.05623299822590184
g,cuda,cuda_block256,,256.0,NA,NA,172.1,5810575.246949448,0.1981406159209762,0.0552527600232423
g,cuda,cuda_block512,,512.0,NA,NA,182.7,5473453.749315819,0.18664477285166942,0.052047071702244124
g,mpi,mpi_P8,8.0,,NA,NA,18.643,53639435.71313629,1.8291047578179478,0.5100573941962131
m,seq,seq,,,NA,NA,1.9,52631578.94736842,1.0,
m,omp,"omp_T1_static,chunk=1024.0",1.0,,static,1024.0,1.74,57471264.36781609,1.0919540229885056,
m,cuda,cuda_block128,,128.0,NA,NA,167.6,596658.7112171837,0.011336515513126491,0.010381861575178997
m,cuda,cuda_block256,,256.0,NA,NA,160.6,622665.0062266501,0.011830635118306352,0.010834371108343711
m,cuda,cuda_block512,,512.0,NA,NA,173.0,578034.6820809249,0.010982658959537572,0.010057803468208093
m,mpi,mpi_P2,2.0,,NA,NA,1.588,62972292.19143576,1.1964735516372795,1.0957178841309823
p,seq,seq,,,NA,NA,0.1,100000000.0,1.0,
p,omp,"omp_T1_static,chunk=1024.0",1.0,,static,1024.0,0.122,81967213.1147541,0.819672131147541,
p,cuda,cuda_block128,,128.0,NA,NA,160.8,62189.05472636816,0.0006218905472636816,0.0007587064676616914
p,cuda,cuda_block256,,256.0,NA,NA,155.9,64143.68184733803,0.0006414368184733804,0.000782552918537524
p,cuda,cuda_block512,,512.0,NA,NA,154.6,64683.05304010349,0.000646830530401035,0.0007891332470892626
p,mpi,mpi_P1,1.0,,NA,NA,0.192,52083333.333333336,0.5208333333333334,0.6354166666666666
