dataset,threads,schedule,chunk,median_ms,speedup
g,1,static,1024.0,34.797,0.9857171595252464
g,2,static,NA,20.667,1.6596506507959545
g,4,static,NA,14.253,2.406510909983863
g,8,dynamic,1024.0,8.347,4.10926081226788
g,16,dynamic,64.0,40.331,0.8504624234459843
m,1,static,256.0,1.898,0.8956796628029505
m,2,static,64.0,2.059,0.825643516270034
m,4,static,64.0,2.069,0.8216529724504592
m,8,dynamic,256.0,1.637,1.0384850335980451
m,16,static,64.0,38.532,0.044119173673829545
p,1,static,1024.0,0.122,0.819672131147541
p,2,static,NA,0.729,0.13717421124828533
p,4,static,64.0,0.472,0.21186440677966104
p,8,dynamic,256.0,0.579,0.17271157167530227
p,16,static,1024.0,40.223,0.0024861397707779133
