dataset,threads,median_ms,comm_ms,comp_ms,throughput_pts_s,speedup_seq
g,1,44.532,0.003,44.529,22455762.148567323,0.7612503368364323
g,2,29.908,0.048,29.86,33435870.001337435,1.1334759930453389
g,4,21.778,0.074,21.704,45917898.796951056,1.5566167692166406
g,8,22.356,0.075,22.281,44730721.05922347,1.5163714439076756
m,1,2.469,0.001,2.468,40502227.62251924,0.7290400972053463
m,2,2.116,0.027,2.089,47258979.206049144,0.8506616257088847
m,4,2.07,0.039,2.031,48309178.74396136,0.8695652173913044
m,8,2.211,0.033,2.178,45228403.43735866,0.814111261872456
p,1,0.251,0.001,0.25,39840637.4501992,0.39840637450199207
p,2,0.355,0.02,0.335,28169014.084507044,0.28169014084507044
p,4,0.365,0.035,0.33,27397260.273972604,0.27397260273972607
p,8,0.431,0.03,0.401,23201856.148491878,0.2320185614849188
