dataset,threads,schedule,chunk,median_ms,speedup
g,1.0,dynamic,1.0,109.753,0.30523083651471944
g,2.0,dynamic,1.0,142.464,0.23514712488769093
g,4.0,dynamic,1.0,169.363,0.1977999917337317
g,8.0,dynamic,1.0,141.303,0.2370791844476055
g,16.0,dynamic,1.0,127.154,0.26346005630967173
g,1.0,dynamic,1024.0,39.513,0.8478222357198897
g,2.0,dynamic,1024.0,24.122,1.3887737335212669
g,4.0,dynamic,1024.0,16.877,1.9849499318599277
g,8.0,dynamic,1024.0,9.275,3.6118598382749325
g,16.0,dynamic,1024.0,45.588,0.7348425024129157
g,1.0,dynamic,256.0,41.122,0.8146490929429503
g,2.0,dynamic,256.0,25.044,1.337645743491455
g,4.0,dynamic,256.0,18.218,1.8388407069930837
g,8.0,dynamic,256.0,10.27,3.2619279454722494
g,16.0,dynamic,256.0,47.027,0.7123567312395007
g,1.0,dynamic,64.0,41.594,0.8054046256671635
g,2.0,dynamic,64.0,26.373,1.2702385014977438
g,4.0,dynamic,64.0,20.931,1.6004968706702976
g,8.0,dynamic,64.0,11.927,2.808753248930997
g,16.0,dynamic,64.0,45.857,0.730531870815797
g,1.0,dynamic,NA,112.244,0.2984569331100103
g,2.0,dynamic,NA,166.955,0.2006528705339762
g,4.0,dynamic,NA,149.112,0.22466334030795646
g,8.0,dynamic,NA,143.17,0.2339875672277712
g,16.0,dynamic,NA,128.59,0.26051792518858385
g,1.0,static,1.0,36.343,0.9217731062377899
g,2.0,static,1.0,44.483,0.7530966886226199
g,4.0,static,1.0,37.183,0.9009493585778447
g,8.0,static,1.0,21.342,1.5696748196045358
g,16.0,static,1.0,40.684,0.823419526103628
g,1.0,static,1024.0,38.625,0.8673139158576052
g,2.0,static,1024.0,22.755,1.4722039112283016
g,4.0,static,1024.0,16.21,2.0666255397902527
g,8.0,static,1024.0,12.034,2.783779292005983
g,16.0,static,1024.0,41.773,0.8019534148852129
g,1.0,static,256.0,37.362,0.8966329425619614
g,2.0,static,256.0,22.982,1.4576625184927334
g,4.0,static,256.0,16.628,2.0146740437815733
g,8.0,static,256.0,12.848,2.607409713574097
g,16.0,static,256.0,47.548,0.7045511903760411
g,1.0,static,64.0,35.584,0.9414343525179856
g,2.0,static,64.0,22.83,1.4673674989049497
g,4.0,static,64.0,16.699,2.0061081501886338
g,8.0,static,64.0,13.384,2.502988643156007
g,16.0,static,64.0,45.95,0.7290533188248095
g,1.0,static,NA,37.119,0.9025027613890461
g,2.0,static,NA,21.753,1.5400174688548707
g,4.0,static,NA,15.024,2.229765708200213
g,8.0,static,NA,12.23,2.739165985282093
g,16.0,static,NA,42.025,0.7971445568114218
m,1.0,dynamic,1.0,8.879,0.2027255321545219
m,2.0,dynamic,1.0,19.743,0.0911715544750038
m,4.0,dynamic,1.0,18.549,0.0970402717127608
