dataset,threads,schedule,chunk,median_ms,speedup
g,1.0,static,64.0,35.584,0.9414343525179856
g,2.0,static,NA,21.753,1.5400174688548707
g,4.0,static,NA,15.024,2.229765708200213
g,8.0,dynamic,1024.0,9.275,3.6118598382749325
g,16.0,static,1.0,40.684,0.823419526103628
m,1.0,static,1024.0,1.936,0.9297520661157025
m,2.0,static,64.0,1.983,0.9077155824508321
m,4.0,static,1024.0,2.223,0.8097165991902835
m,8.0,static,1024.0,1.784,1.0089686098654709
m,16.0,dynamic,256.0,39.301,0.04580036131396147
p,1.0,static,1024.0,0.123,0.8130081300813009
p,2.0,static,1024.0,0.57,0.1754385964912281
p,4.0,dynamic,1024.0,0.486,0.205761316872428
p,8.0,dynamic,256.0,0.618,0.16181229773462785
p,16.0,dynamic,1.0,39.363,0.0025404567741279882
