dataset,modo,threads,schedule,chunk,rep,iters,sse_final,time_ms,median_ms
p,seq,1,NA,NA,1,3,3307.377030,0.1,NA
p,seq,1,NA,NA,2,3,3307.377030,0.1,NA
p,seq,1,NA,NA,3,3,3307.377030,0.1,NA
p,seq,1,NA,NA,4,3,3307.377030,0.1,NA
p,seq,1,NA,NA,5,3,3307.377030,0.1,NA
p,seq,1,NA,NA,0,NA,NA,NA,0.1
m,seq,1,NA,NA,1,3,33447.299806,1.7,NA
m,seq,1,NA,NA,2,3,33447.299806,1.7,NA
m,seq,1,NA,NA,3,3,33447.299806,1.7,NA
m,seq,1,NA,NA,4,3,33447.299806,1.7,NA
m,seq,1,NA,NA,5,3,33447.299806,1.8,NA
m,seq,1,NA,NA,0,NA,NA,NA,1.7
g,seq,1,NA,NA,1,3,333373.975493,34.3,NA
g,seq,1,NA,NA,2,3,333373.975493,34.0,NA
g,seq,1,NA,NA,3,3,333373.975493,37.8,NA
g,seq,1,NA,NA,4,3,333373.975493,34.5,NA
g,seq,1,NA,NA,5,3,333373.975493,32.1,NA
g,seq,1,NA,NA,0,NA,NA,NA,34.3
p,omp,1,static,NA,1,3,3307.377030,0.209,NA
p,omp,1,static,NA,2,3,3307.377030,0.140,NA
p,omp,1,static,NA,3,3,3307.377030,0.120,NA
p,omp,1,static,NA,4,3,3307.377030,0.123,NA
p,omp,1,static,NA,5,3,3307.377030,0.125,NA
p,omp,1,static,NA,0,NA,NA,NA,0.125
p,omp,2,static,NA,1,3,3307.377030,0.558,NA
p,omp,2,static,NA,2,3,3307.377030,0.797,NA
p,omp,2,static,NA,3,3,3307.377030,0.553,NA
p,omp,2,static,NA,4,3,3307.377030,0.785,NA
p,omp,2,static,NA,5,3,3307.377030,0.729,NA
p,omp,2,static,NA,0,NA,NA,NA,0.729
p,omp,4,static,NA,1,3,3307.377030,0.594,NA
p,omp,4,static,NA,2,3,3307.377030,0.669,NA
p,omp,4,static,NA,3,3,3307.377030,0.725,NA
p,omp,4,static,NA,4,3,3307.377030,0.637,NA
p,omp,4,static,NA,5,3,3307.377030,0.532,NA
p,omp,4,static,NA,0,NA,NA,NA,0.637
p,omp,8,static,NA,1,3,3307.377030,0.745,NA
p,omp,8,static,NA,2,3,3307.377030,0.739,NA
p,omp,8,static,NA,3,3,3307.377030,0.677,NA
p,omp,8,static,NA,4,3,3307.377030,1.194,NA
p,omp,8,static,NA,5,3,3307.377030,0.725,NA
p,omp,8,static,NA,0,NA,NA,NA,0.739
p,omp,16,static,NA,1,3,3307.377030,48.309,NA
p,omp,16,static,NA,2,3,3307.377030,40.357,NA
p,omp,16,static,NA,3,3,3307.377030,1.235,NA
p,omp,16,static,NA,4,3,3307.377030,47.012,NA
p,omp,16,static,NA,5,3,3307.377030,40.018,NA
p,omp,16,static,NA,0,NA,NA,NA,40.357
p,omp,1,dynamic,NA,1,3,3307.377030,0.740,NA
p,omp,1,dynamic,NA,2,3,3307.377030,0.715,NA
p,omp,1,dynamic,NA,3,3,3307.377030,0.750,NA
p,omp,1,dynamic,NA,4,3,3307.377030,0.727,NA
p,omp,1,dynamic,NA,5,3,3307.377030,0.807,NA
p,omp,1,dynamic,NA,0,NA,NA,NA,0.740
p,omp,2,dynamic,NA,1,3,3307.377030,2.630,NA
p,omp,2,dynamic,NA,2,3,3307.377030,2.659,NA
p,omp,2,dynamic,NA,3,3,3307.377030,2.375,NA
p,omp,2,dynamic,NA,4,3,3307.377030,2.687,NA
p,omp,2,dynamic,NA,5,3,3307.377030,2.535,NA
p,omp,2,dynamic,NA,0,NA,NA,NA,2.630
p,omp,4,dynamic,NA,1,3,3307.377030,2.686,NA
p,omp,4,dynamic,NA,2,3,3307.377030,2.475,NA
p,omp,4,dynamic,NA,3,3,3307.377030,2.467,NA
