dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
p,seq,1,NA,NA,NA,1,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,2,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,3,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,4,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,5,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,0,NA,NA,NA,0.1,NA,NA,NA,NA
m,seq,1,NA,NA,NA,1,3,33447.299806,1.7,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,2,3,33447.299806,1.7,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,3,3,33447.299806,1.7,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,4,3,33447.299806,1.7,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,5,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,0,NA,NA,NA,1.7,NA,NA,NA,NA
g,seq,1,NA,NA,NA,1,3,333373.975493,33.0,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,2,3,333373.975493,32.3,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,3,3,333373.975493,33.2,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,4,3,333373.975493,31.6,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,5,3,333373.975493,31.7,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,0,NA,NA,NA,32.3,NA,NA,NA,NA
p,cuda,NA,NA,NA,128,1,3,3307.377030,NA,NA,0.079,0.124,0.322,235.9
p,cuda,NA,NA,NA,128,2,3,3307.377030,NA,NA,0.132,0.126,0.360,142.2
p,cuda,NA,NA,NA,128,3,3,3307.377030,NA,NA,0.083,0.086,0.322,158.4
p,cuda,NA,NA,NA,128,4,3,3307.377030,NA,NA,0.122,0.118,0.411,5185.9
p,cuda,NA,NA,NA,128,5,3,3307.377030,NA,NA,0.069,0.084,0.295,-5390.0
p,cuda,NA,NA,NA,128,0,NA,NA,NA,158.4,NA,NA,NA,158.4
p,cuda,NA,NA,NA,256,1,3,3307.377030,NA,NA,0.112,0.128,0.382,143.5
p,cuda,NA,NA,NA,256,2,3,3307.377030,NA,NA,0.126,0.227,0.373,149.6
p,cuda,NA,NA,NA,256,3,3,3307.377030,NA,NA,0.157,0.351,0.537,148.0
p,cuda,NA,NA,NA,256,4,3,3307.377030,NA,NA,0.102,0.134,0.308,142.2
p,cuda,NA,NA,NA,256,5,3,3307.377030,NA,NA,0.091,0.086,0.333,143.9
p,cuda,NA,NA,NA,256,0,NA,NA,NA,143.9,NA,NA,NA,143.9
p,cuda,NA,NA,NA,512,1,3,3307.377030,NA,NA,0.081,0.104,0.394,147.6
p,cuda,NA,NA,NA,512,2,3,3307.377030,NA,NA,0.103,0.249,0.361,152.1
p,cuda,NA,NA,NA,512,3,3,3307.377030,NA,NA,0.075,0.104,0.502,143.7
p,cuda,NA,NA,NA,512,4,3,3307.377030,NA,NA,0.090,0.090,0.360,156.1
p,cuda,NA,NA,NA,512,5,3,3307.377030,NA,NA,0.103,0.084,0.339,144.3
p,cuda,NA,NA,NA,512,0,NA,NA,NA,147.6,NA,NA,NA,147.6
m,cuda,NA,NA,NA,128,1,3,33447.299806,NA,NA,0.218,0.205,0.849,149.8
m,cuda,NA,NA,NA,128,2,3,33447.299806,NA,NA,0.240,0.198,0.748,146.1
m,cuda,NA,NA,NA,128,3,3,33447.299806,NA,NA,0.343,0.360,0.837,150.4
m,cuda,NA,NA,NA,128,4,3,33447.299806,NA,NA,0.276,0.292,0.710,147.5
m,cuda,NA,NA,NA,128,5,3,33447.299806,NA,NA,0.217,0.208,0.696,145.1
m,cuda,NA,NA,NA,128,0,NA,NA,NA,147.5,NA,NA,NA,147.5
m,cuda,NA,NA,NA,256,1,3,33447.299806,NA,NA,0.209,0.209,0.616,136.8
m,cuda,NA,NA,NA,256,2,3,33447.299806,NA,NA,0.220,0.211,0.686,144.6
m,cuda,NA,NA,NA,256,3,3,33447.299806,NA,NA,0.250,0.239,0.824,156.3
m,cuda,NA,NA,NA,256,4,3,33447.299806,NA,NA,0.210,0.220,0.863,153.7
m,cuda,NA,NA,NA,256,5,3,33447.299806,NA,NA,0.218,0.215,0.794,152.9
m,cuda,NA,NA,NA,256,0,NA,NA,NA,152.9,NA,NA,NA,152.9
m,cuda,NA,NA,NA,512,1,3,33447.299806,NA,NA,0.203,0.223,0.577,144.5
m,cuda,NA,NA,NA,512,2,3,33447.299806,NA,NA,0.219,0.221,0.627,148.6
m,cuda,NA,NA,NA,512,3,3,33447.299806,NA,NA,0.206,0.228,0.648,147.4
m,cuda,NA,NA,NA,512,4,3,33447.299806,NA,NA,0.314,0.404,0.992,150.4
m,cuda,NA,NA,NA,512,5,3,33447.299806,NA,NA,0.233,0.249,0.860,149.1
m,cuda,NA,NA,NA,512,0,NA,NA,NA,148.6,NA,NA,NA,148.6
g,cuda,NA,NA,NA,128,1,3,333373.975493,NA,NA,1.089,2.378,4.626,174.7
g,cuda,NA,NA,NA,128,2,3,333373.975493,NA,NA,1.115,2.382,3.272,154.4
g,cuda,NA,NA,NA,128,3,3,333373.975493,NA,NA,1.017,2.387,4.348,163.8
g,cuda,NA,NA,NA,128,4,3,333373.975493,NA,NA,1.200,2.393,3.090,154.1
g,cuda,NA,NA,NA,128,5,3,333373.975493,NA,NA,1.158,2.351,3.055,158.6
g,cuda,NA,NA,NA,128,0,NA,NA,NA,158.6,NA,NA,NA,158.6
g,cuda,NA,NA,NA,256,1,3,333373.975493,NA,NA,1.422,2.450,4.407,165.1
g,cuda,NA,NA,NA,256,2,3,333373.975493,NA,NA,1.421,2.538,4.576,5196.3
g,cuda,NA,NA,NA,256,3,3,333373.975493,NA,NA,1.090,2.475,4.798,152.6
g,cuda,NA,NA,NA,256,4,3,333373.975493,NA,NA,1.113,2.438,4.354,170.7
g,cuda,NA,NA,NA,256,5,3,333373.975493,NA,NA,1.167,2.435,3.239,156.4
g,cuda,NA,NA,NA,256,0,NA,NA,NA,165.1,NA,NA,NA,165.1
g,cuda,NA,NA,NA,512,1,3,333373.975493,NA,NA,1.076,2.525,3.191,154.1
g,cuda,NA,NA,NA,512,2,3,333373.975493,NA,NA,1.418,2.587,3.970,169.9
g,cuda,NA,NA,NA,512,3,3,333373.975493,NA,NA,1.115,2.812,4.206,167.5
g,cuda,NA,NA,NA,512,4,3,333373.975493,NA,NA,1.179,2.851,3.512,153.8
g,cuda,NA,NA,NA,512,5,3,333373.975493,NA,NA,1.158,2.524,4.535,-5355.7
g,cuda,NA,NA,NA,512,0,NA,NA,NA,154.1,NA,NA,NA,154.1
