dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
p,seq,1,NA,NA,NA,1,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,2,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,3,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,4,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,5,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,0,NA,NA,NA,0.1,NA,NA,NA,NA
m,seq,1,NA,NA,NA,1,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,2,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,3,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,4,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,5,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,0,NA,NA,NA,1.8,NA,NA,NA,NA
g,seq,1,NA,NA,NA,1,3,333373.975493,33.5,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,2,3,333373.975493,32.9,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,3,3,333373.975493,33.7,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,4,3,333373.975493,33.5,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,5,3,333373.975493,34.1,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,0,NA,NA,NA,33.5,NA,NA,NA,NA
p,omp,1,static,NA,NA,1,3,3307.377030,0.128,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,2,3,3307.377030,0.154,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,3,3,3307.377030,0.158,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,4,3,3307.377030,0.132,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,5,3,3307.377030,0.130,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,0,NA,NA,NA,0.132,NA,NA,NA,NA
p,omp,2,static,NA,NA,1,3,3307.377030,0.730,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,2,3,3307.377030,0.512,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,3,3,3307.377030,0.912,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,4,3,3307.377030,0.924,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,5,3,3307.377030,0.817,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,0,NA,NA,NA,0.817,NA,NA,NA,NA
p,omp,4,static,NA,NA,1,3,3307.377030,0.543,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,2,3,3307.377030,0.586,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,3,3,3307.377030,0.529,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,4,3,3307.377030,0.740,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,5,3,3307.377030,0.590,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,0,NA,NA,NA,0.586,NA,NA,NA,NA
p,omp,8,static,NA,NA,1,3,3307.377030,0.685,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,2,3,3307.377030,0.709,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,3,3,3307.377030,0.759,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,4,3,3307.377030,0.846,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,5,3,3307.377030,0.943,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,0,NA,NA,NA,0.759,NA,NA,NA,NA
p,omp,16,static,NA,NA,1,3,3307.377030,44.924,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,2,3,3307.377030,46.179,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,3,3,3307.377030,45.792,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,4,3,3307.377030,39.646,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,5,3,3307.377030,46.529,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,0,NA,NA,NA,45.792,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,1,3,3307.377030,0.767,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,2,3,3307.377030,1.254,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,3,3,3307.377030,0.757,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,4,3,3307.377030,0.733,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,5,3,3307.377030,0.732,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,0,NA,NA,NA,0.757,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,1,3,3307.377030,2.454,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,2,3,3307.377030,2.370,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,3,3,3307.377030,2.679,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,4,3,3307.377030,0.629,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,5,3,3307.377030,2.848,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,0,NA,NA,NA,2.454,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,1,3,3307.377030,2.595,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,2,3,3307.377030,2.565,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,3,3,3307.377030,2.301,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,4,3,3307.377030,2.536,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,5,3,3307.377030,2.551,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,0,NA,NA,NA,2.551,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,1,3,3307.377030,2.209,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,2,3,3307.377030,2.485,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,3,3,3307.377030,2.265,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,4,3,3307.377030,2.275,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,5,3,3307.377030,2.109,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,0,NA,NA,NA,2.265,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,1,3,3307.377030,39.924,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,2,3,3307.377030,47.210,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,3,3,3307.377030,47.193,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,4,3,3307.377030,46.767,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,5,3,3307.377030,39.648,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,0,NA,NA,NA,46.767,NA,NA,NA,NA
m,omp,1,static,NA,NA,1,3,33447.299806,2.386,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,2,3,33447.299806,2.944,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,3,3,33447.299806,2.123,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,4,3,33447.299806,1.975,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,5,3,33447.299806,1.999,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,0,NA,NA,NA,2.123,NA,NA,NA,NA
m,omp,2,static,NA,NA,1,3,33447.299806,2.624,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,2,3,33447.299806,2.931,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,3,3,33447.299806,2.525,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,4,3,33447.299806,1.860,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,5,3,33447.299806,1.566,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,0,NA,NA,NA,2.525,NA,NA,NA,NA
m,omp,4,static,NA,NA,1,3,33447.299806,2.198,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,2,3,33447.299806,2.272,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,3,3,33447.299806,2.218,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,4,3,33447.299806,2.282,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,5,3,33447.299806,2.417,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,0,NA,NA,NA,2.272,NA,NA,NA,NA
m,omp,8,static,NA,NA,1,3,33447.299806,1.890,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,2,3,33447.299806,1.955,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,3,3,33447.299806,1.648,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,4,3,33447.299806,2.040,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,5,3,33447.299806,1.751,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,0,NA,NA,NA,1.890,NA,NA,NA,NA
m,omp,16,static,NA,NA,1,3,33447.299806,46.209,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,2,3,33447.299806,40.555,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,3,3,33447.299806,46.246,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,4,3,33447.299806,46.742,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,5,3,33447.299806,40.530,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,0,NA,NA,NA,46.209,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,1,3,33447.299806,8.564,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,2,3,33447.299806,8.650,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,3,3,33447.299806,8.323,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,4,3,33447.299806,8.360,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,5,3,33447.299806,8.720,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,0,NA,NA,NA,8.564,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,1,3,33447.299806,19.374,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,2,3,33447.299806,21.739,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,3,3,33447.299806,19.938,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,4,3,33447.299806,21.203,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,5,3,33447.299806,18.400,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,0,NA,NA,NA,19.938,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,1,3,33447.299806,17.719,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,2,3,33447.299806,19.985,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,3,3,33447.299806,20.649,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,4,3,33447.299806,19.830,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,5,3,33447.299806,18.777,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,0,NA,NA,NA,19.830,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,1,3,33447.299806,16.039,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,2,3,33447.299806,16.431,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,3,3,33447.299806,15.625,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,4,3,33447.299806,18.135,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,5,3,33447.299806,16.218,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,0,NA,NA,NA,16.218,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,1,3,33447.299806,46.109,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,2,3,33447.299806,46.557,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,3,3,33447.299806,11.226,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,4,3,33447.299806,45.369,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,5,3,33447.299806,46.873,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,0,NA,NA,NA,46.109,NA,NA,NA,NA
g,omp,1,static,NA,NA,1,3,333373.975493,37.119,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,2,3,333373.975493,35.542,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,3,3,333373.975493,40.269,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,4,3,333373.975493,38.798,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,5,3,333373.975493,36.859,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,0,NA,NA,NA,37.119,NA,NA,NA,NA
g,omp,2,static,NA,NA,1,3,333373.975493,22.777,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,2,3,333373.975493,21.500,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,3,3,333373.975493,22.031,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,4,3,333373.975493,21.448,NA,NA,NA,NA,NA
