dataset,modo,threads,schedule,chunk,block,rep,iters,sse_final,time_ms,median_ms,h2d_ms,kernel_ms,d2h_ms,total_ms
p,seq,1,NA,NA,NA,1,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,2,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,3,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,4,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,5,3,3307.377030,0.1,NA,NA,NA,NA,NA
p,seq,1,NA,NA,NA,0,NA,NA,NA,0.1,NA,NA,NA,NA
m,seq,1,NA,NA,NA,1,3,33447.299806,1.9,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,2,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,3,3,33447.299806,1.9,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,4,3,33447.299806,2.0,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,5,3,33447.299806,1.8,NA,NA,NA,NA,NA
m,seq,1,NA,NA,NA,0,NA,NA,NA,1.9,NA,NA,NA,NA
g,seq,1,NA,NA,NA,1,3,333373.975493,34.8,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,2,3,333373.975493,34.0,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,3,3,333373.975493,32.6,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,4,3,333373.975493,36.6,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,5,3,333373.975493,34.1,NA,NA,NA,NA,NA
g,seq,1,NA,NA,NA,0,NA,NA,NA,34.1,NA,NA,NA,NA
p,omp,1,static,NA,NA,1,3,3307.377030,0.127,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,2,3,3307.377030,0.149,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,3,3,3307.377030,0.125,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,4,3,3307.377030,0.127,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,5,3,3307.377030,0.308,NA,NA,NA,NA,NA
p,omp,1,static,NA,NA,0,NA,NA,NA,0.127,NA,NA,NA,NA
p,omp,2,static,NA,NA,1,3,3307.377030,0.731,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,2,3,3307.377030,0.733,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,3,3,3307.377030,1.054,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,4,3,3307.377030,0.787,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,5,3,3307.377030,0.530,NA,NA,NA,NA,NA
p,omp,2,static,NA,NA,0,NA,NA,NA,0.733,NA,NA,NA,NA
p,omp,4,static,NA,NA,1,3,3307.377030,0.722,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,2,3,3307.377030,0.747,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,3,3,3307.377030,0.560,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,4,3,3307.377030,0.636,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,5,3,3307.377030,0.548,NA,NA,NA,NA,NA
p,omp,4,static,NA,NA,0,NA,NA,NA,0.636,NA,NA,NA,NA
p,omp,8,static,NA,NA,1,3,3307.377030,0.825,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,2,3,3307.377030,1.099,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,3,3,3307.377030,0.829,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,4,3,3307.377030,1.289,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,5,3,3307.377030,0.678,NA,NA,NA,NA,NA
p,omp,8,static,NA,NA,0,NA,NA,NA,0.829,NA,NA,NA,NA
p,omp,16,static,NA,NA,1,3,3307.377030,39.551,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,2,3,3307.377030,46.430,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,3,3,3307.377030,40.678,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,4,3,3307.377030,40.836,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,5,3,3307.377030,39.434,NA,NA,NA,NA,NA
p,omp,16,static,NA,NA,0,NA,NA,NA,40.678,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,1,3,3307.377030,0.711,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,2,3,3307.377030,0.738,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,3,3,3307.377030,0.718,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,4,3,3307.377030,0.726,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,5,3,3307.377030,0.848,NA,NA,NA,NA,NA
p,omp,1,dynamic,NA,NA,0,NA,NA,NA,0.726,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,1,3,3307.377030,2.865,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,2,3,3307.377030,2.770,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,3,3,3307.377030,2.825,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,4,3,3307.377030,2.767,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,5,3,3307.377030,2.833,NA,NA,NA,NA,NA
p,omp,2,dynamic,NA,NA,0,NA,NA,NA,2.825,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,1,3,3307.377030,2.649,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,2,3,3307.377030,2.428,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,3,3,3307.377030,2.572,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,4,3,3307.377030,3.109,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,5,3,3307.377030,2.637,NA,NA,NA,NA,NA
p,omp,4,dynamic,NA,NA,0,NA,NA,NA,2.637,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,1,3,3307.377030,2.331,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,2,3,3307.377030,2.277,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,3,3,3307.377030,2.294,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,4,3,3307.377030,2.564,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,5,3,3307.377030,2.367,NA,NA,NA,NA,NA
p,omp,8,dynamic,NA,NA,0,NA,NA,NA,2.331,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,1,3,3307.377030,46.518,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,2,3,3307.377030,46.630,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,3,3,3307.377030,45.140,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,4,3,3307.377030,45.054,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,5,3,3307.377030,49.004,NA,NA,NA,NA,NA
p,omp,16,dynamic,NA,NA,0,NA,NA,NA,46.518,NA,NA,NA,NA
m,omp,1,static,NA,NA,1,3,33447.299806,1.850,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,2,3,33447.299806,1.797,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,3,3,33447.299806,1.857,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,4,3,33447.299806,1.672,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,5,3,33447.299806,1.826,NA,NA,NA,NA,NA
m,omp,1,static,NA,NA,0,NA,NA,NA,1.826,NA,NA,NA,NA
m,omp,2,static,NA,NA,1,3,33447.299806,2.476,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,2,3,33447.299806,2.466,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,3,3,33447.299806,3.439,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,4,3,33447.299806,2.653,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,5,3,33447.299806,2.771,NA,NA,NA,NA,NA
m,omp,2,static,NA,NA,0,NA,NA,NA,2.653,NA,NA,NA,NA
m,omp,4,static,NA,NA,1,3,33447.299806,3.013,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,2,3,33447.299806,2.859,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,3,3,33447.299806,2.911,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,4,3,33447.299806,2.516,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,5,3,33447.299806,3.051,NA,NA,NA,NA,NA
m,omp,4,static,NA,NA,0,NA,NA,NA,2.911,NA,NA,NA,NA
m,omp,8,static,NA,NA,1,3,33447.299806,2.198,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,2,3,33447.299806,2.445,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,3,3,33447.299806,2.069,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,4,3,33447.299806,2.126,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,5,3,33447.299806,2.492,NA,NA,NA,NA,NA
m,omp,8,static,NA,NA,0,NA,NA,NA,2.198,NA,NA,NA,NA
m,omp,16,static,NA,NA,1,3,33447.299806,39.166,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,2,3,33447.299806,37.331,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,3,3,33447.299806,40.106,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,4,3,33447.299806,40.180,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,5,3,33447.299806,39.069,NA,NA,NA,NA,NA
m,omp,16,static,NA,NA,0,NA,NA,NA,39.166,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,1,3,33447.299806,8.400,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,2,3,33447.299806,7.989,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,3,3,33447.299806,7.790,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,4,3,33447.299806,8.079,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,5,3,33447.299806,7.645,NA,NA,NA,NA,NA
m,omp,1,dynamic,NA,NA,0,NA,NA,NA,7.989,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,1,3,33447.299806,18.030,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,2,3,33447.299806,18.146,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,3,3,33447.299806,18.010,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,4,3,33447.299806,13.005,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,5,3,33447.299806,9.303,NA,NA,NA,NA,NA
m,omp,2,dynamic,NA,NA,0,NA,NA,NA,18.010,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,1,3,33447.299806,17.498,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,2,3,33447.299806,15.934,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,3,3,33447.299806,15.484,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,4,3,33447.299806,17.228,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,5,3,33447.299806,13.561,NA,NA,NA,NA,NA
m,omp,4,dynamic,NA,NA,0,NA,NA,NA,15.934,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,1,3,33447.299806,15.487,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,2,3,33447.299806,17.117,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,3,3,33447.299806,19.553,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,4,3,33447.299806,14.452,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,5,3,33447.299806,13.486,NA,NA,NA,NA,NA
m,omp,8,dynamic,NA,NA,0,NA,NA,NA,15.487,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,1,3,33447.299806,45.451,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,2,3,33447.299806,39.806,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,3,3,33447.299806,39.959,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,4,3,33447.299806,44.850,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,5,3,33447.299806,39.240,NA,NA,NA,NA,NA
m,omp,16,dynamic,NA,NA,0,NA,NA,NA,39.959,NA,NA,NA,NA
g,omp,1,static,NA,NA,1,3,333373.975493,33.620,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,2,3,333373.975493,33.302,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,3,3,333373.975493,37.233,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,4,3,333373.975493,32.678,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,5,3,333373.975493,33.633,NA,NA,NA,NA,NA
g,omp,1,static,NA,NA,0,NA,NA,NA,33.620,NA,NA,NA,NA
g,omp,2,static,NA,NA,1,3,333373.975493,18.234,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,2,3,333373.975493,20.165,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,3,3,333373.975493,23.093,NA,NA,NA,NA,NA
g,omp,2,static,NA,NA,4,3,333373.975493,20.083,NA,NA,NA,NA,NA
